Month,Revenue
2009-12,613214.9
2010-01,416635.242
2010-02,411077.936
2010-03,589725.011
2010-04,503425.741
2010-05,503483.12
2010-06,541357.86
2010-07,504239.92
2010-08,508488.09
2010-09,681585.771
2010-10,879189.45
2010-11,983677.132
2010-12,777317.64
2011-01,442190.06
2011-02,355655.63
2011-03,467198.59
2011-04,409559.141
2011-05,551568.82
2011-06,524915.48
2011-07,485612.251
2011-08,498453.32
2011-09,796780.272
2011-10,824766.22
2011-11,980645.75
2011-12,472384.17000000004
